packet_size,protocol,packet_frequency,label
114,1,1000.0,1
54,1,20.814164913255787,0
97,1,1.0680274499318845,0
60,1,31.746170148349986,0
94,1,74.35259080675755,0
54,1,19.55395596249866,0
121,1,10.103762017522518,0
54,1,20.17452537505832,0
96,1,0.2348507470416914,0
249,1,44.14034644608617,0
249,1,1000.0,1
114,1,1000.0,1
249,1,1000.0,1
114,1,1000.0,1
66,1,1000.0,1
66,1,1000.0,1
66,1,1000.0,1
227,1,21.12733408890568,0
54,1,18.730591975992283,0
80,1,1.2408607055826104,0
60,1,19.724998706728304,0
285,1,264.42466271592485,0
80,1,209.2444000997755,0
54,1,25.867931393893045,0
54,1,22.075400396844195,0
291,1,109.4318513880192,1
54,1,20.657729095046246,0
474,1,9.218027696033722,1
108,1,32.29965500246427,0
54,1,283.78240866035185,1
203,1,38.82248838371684,0
54,1,22.690679318571576,0
1107,1,0.914952654522863,0
1466,1,79.38345067756832,1
1466,1,1000.0,1
1466,1,1000.0,1
1466,1,1000.0,1
459,1,1000.0,1
60,1,9.101886432141175,0
60,1,1000.0,1
60,1,1000.0,1
1104,1,1000.0,1
54,1,19.564992676487325,0
104,1,1.6944697388992804,0
54,1,22.068431381834063,0
114,1,0.7942447372791345,0
54,1,20.594334758890913,0
294,1,0.41297827521500585,0
319,1,8.722088325018767,0
54,1,18.899901767287606,0
100,2,4.515792284304183,0
100,2,0.9993885919744953,0
335,1,1.3446798906380644,0
54,1,19.476774909565403,0
114,1,2.892332220341952,0
54,1,18.304227909087736,0
119,2,1.1587080098933342,0
100,2,1.0550678323725886,0
119,2,19.351776321860292,0
55,1,0.34251177676579625,0
66,1,21.028612683435526,0
114,1,8.591980170639026,0
54,1,19.25962796805907,0
111,1,3.1622761913091204,0
54,1,19.617518849039307,0
1466,1,1.0605525548639398,0
1096,1,1000.0,0
54,1,238.61099101149165,0
114,1,0.22571085424774368,0
114,1,1000.0,1
114,1,1000.0,1
66,1,930.0008869179601,0
66,1,1000.0,0
100,2,11.850324913827203,0
75,2,1.7495949609977892,0
75,2,1000.0,1
132,2,46.64535860051824,0
91,2,1000.0,1
1292,2,307.65818235164676,0
1292,2,1000.0,0
123,2,1000.0,0
636,2,1000.0,0
82,2,22.86995496134091,0
1292,2,272.37508929151244,0
1292,2,78.7012421660975,0
341,2,1000.0,0
986,2,1000.0,0
67,2,1000.0,0
64,2,1000.0,0
1292,2,282.55887900835353,0
73,2,1000.0,0
570,2,58.89966437769446,0
77,2,296.8788221970555,0
163,2,807.3732435033686,0
67,2,30.594365909521933,0
74,2,1000.0,0
334,1,7.701594926202989,0
54,1,21.61076647224913,0
120,1,1.4835036727671953,0
143,1,8.112538320938464,0
54,1,14.13327582488678,0
55,1,1.5505148785407141,0
66,1,16.26619715032538,0
294,1,10.548152320978588,0
120,1,1000.0,0
319,1,8.064852558876463,0
143,1,285.7155313351499,0
54,1,25.834153552400604,0
54,1,68.02530085309287,0
